FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
161030;0000;15,4176;;;
161031;0000;13,893;;;
161101;0000;17,0291;;;
161102;0000;52,2866;;;
161103;0000;46,4347;;;
161104;0000;40,3074;;;
161105;0000;39,1558;;;
161106;0000;24,7391;;;
161107;0000;35,4983;;;
161108;0000;31,3004;;;
161109;0000;31,2668;;;
161110;0000;39,2611;;;
161111;0000;39,2078;;;
161112;0000;34,0215;;;
161113;0000;15,2657;;;
161114;0000;32,8409;;;
161115;0000;33,7032;;;
161116;0000;42,1129;;;
161117;0000;54,871;;;
161118;0000;42,4603;;;
161119;0000;23,2657;;;
161120;0000;10,8421;;;
161121;0000;26,0342;;;
161122;0000;19,834;;;
161123;0000;22,503;;;
161124;0000;30,4185;;;
161125;0000;15,075;;;
161126;0000;11,1493;;;
161127;0000;12,9398;;;
161128;0000;36,7067;;;
161129;0000;34,3861;;;
161130;0000;32,5713;;;
161201;0000;27,003;;;
161202;0000;29,1905;;;
161203;0000;18,915;;;
161204;0000;4,50447;;;
161205;0000;18,3502;;;
161206;0000;38,1129;;;
161207;0000;29,6465;;;
161208;0000;17,452;;;
161209;0000;28,4128;;;
161210;0000;33,1675;;;
161211;0000;24,2706;;;
161212;0000;30,1349;;;
161213;0000;51,1372;;;
161214;0000;46,3236;;;
161215;0000;35,0435;;;
161216;0000;30,4891;;;
161217;0000;18,0886;;;
161218;0000;15,1075;;;
161219;0000;29,797;;;
161220;0000;35,9231;;;
161221;0000;25,3051;;;
161222;0000;29,3166;;;
161223;0000;34,2579;;;
161224;0000;22,5585;;;
161225;0000;3,84411;;;
161226;0000;13,6834;;;
161227;0000;37,7922;;;
161228;0000;35,3722;;;
161229;0000;31,7993;;;
161230;0000;21,1442;;;
161231;0000;10,5678;;;
170101;0000;19,0333;;;
170102;0000;19,839;;;
170103;0000;30,0944;;;
170104;0000;31,3182;;;
170105;0000;32,3305;;;
170106;0000;31,2449;;;
170107;0000;22,1915;;;
170108;0000;13,6023;;;
170109;0000;13,9398;;;
170110;0000;21,0539;;;
170111;0000;27,3282;;;
170112;0000;32,9084;;;
170113;0000;31,4681;;;
170114;0000;24,0993;;;
170115;0000;16,9347;;;
170116;0000;27,2147;;;
170117;0000;22,4838;;;
170118;0000;31,2057;;;
170119;0000;42,4521;;;
170120;0000;;;;
170121;0000;;;;
170122;0000;;;;
170123;0000;;;;
170124;0000;;;;
170125;0000;;;;
170126;0000;;;;
170127;0000;21,857;;;
170128;0000;;;;
170129;0000;19,9119;;;
170130;0000;27,135;;;
170131;0000;32,0962;;;
170201;0000;32,0155;;;
170202;0000;24,7308;;;
170203;0000;;;;
170204;0000;;;;
170205;0000;19,3466;;;
170206;0000;29,127;;;
170207;0000;29,9406;;;
170208;0000;16,329;;;
170209;0000;31,4369;;;
170210;0000;38,8505;;;
170211;0000;;;;
170212;0000;;;;
170213;0000;31,8869;;;
170214;0000;33,499;;;
170215;0000;30,526;;;
170216;0000;;;;
170217;0000;;;;
170218;0000;21,8933;;;
170219;0000;;;;
170220;0000;29,4767;;;
170221;0000;32,6591;;;
170222;0000;30,2539;;;
170223;0000;30,1685;;;
170224;0000;24,8836;;;
170225;0000;21,4923;;;
170226;0000;16,7872;;;
170227;0000;28,6832;;;
170228;0000;27,8504;;;
170301;0000;24,4008;;;
170302;0000;18,6751;;;
170303;0000;31,2416;;;
170304;0000;25,9251;;;
170305;0000;33,4358;;;
170306;0000;52,3815;;;
170307;0000;51,7117;;;
170308;0000;43,6247;;;
170309;0000;25,5049;;;
170310;0000;48,684;;;
170311;0000;44,45;;;
170312;0000;56,4168;;;
170313;0000;55,7833;;;
170314;0000;24,4393;;;
170315;0000;53,3927;;;
170316;0000;43,4119;;;
170317;0000;57,8839;;;
170318;0000;47,9391;;;
170319;0000;27,7244;;;
170320;0000;52,3231;;;
170321;0000;55,0854;;;
170322;0000;73,491;;;
170323;0000;68,8735;;;
170324;0000;21,4105;;;
170325;0000;18,5278;;;
170326;0000;32,0903;;;
170327;0000;54,993;;;
170328;0000;51,4837;;;
170329;0000;37,069;;;
170330;0000;50,9849;;;
170331;0000;56,9475;;;
170401;0000;45,0099;;;
170402;0000;44,5005;;;
170403;0000;63,5617;;;
170404;0000;61,4119;;;
170405;0000;72,9486;;;
170406;0000;59,9986;;;
170407;0000;21,3497;;;
170408;0000;33,3528;;;
170409;0000;42,0337;;;
170410;0000;94,9803;;;
170411;0000;76,8705;;;
170412;0000;79,4282;;;
170413;0000;72,8304;;;
170414;0000;38,8202;;;
170415;0000;53,3436;;;
170416;0000;52,7626;;;
170417;0000;63,398;;;
170418;0000;41,3323;;;
170419;0000;38,6378;;;
170420;0000;44,3974;;;
170421;0000;67,4579;;;
170422;0000;83,3689;;;
170423;0000;61,8737;;;
170424;0000;;;;
170425;0000;;;;
170426;0000;97,6575;;;
170427;0000;122,156;;;
170428;0000;126,472;;;
170429;0000;116,001;;;
170430;0000;;;;
170501;0000;;;;
170502;0000;70,564;;;
170503;0000;119,147;;;
170504;0000;129,108;;;
170505;0000;94,5359;;;
170506;0000;;;;
170507;0000;;;;
170508;0000;81,8;;;
170509;0000;106,272;;;
170510;0000;61,965;;;
170511;0000;;;;
170512;0000;;;;
170513;0000;;;;
170514;0000;;;;
170515;0000;80,6493;;;
170516;0000;77,1598;;;
170517;0000;72,7871;;;
170518;0000;;;;
170519;0000;86,5051;;;
170520;0000;92,2819;;;
170521;0000;94,9259;;;
170522;0000;141,991;;;
170523;0000;147,329;;;
170524;0000;111,372;;;
170525;0000;;;;
170526;0000;116,46;;;
170527;0000;89,464;;;
170528;0000;;;;
170529;0000;99,5475;;;
170530;0000;114,627;;;
170531;0000;124,919;;;
170601;0000;132,905;;;
170602;0000;93,0067;;;
170603;0000;93,9042;;;
170604;0000;;;;
170605;0000;117,879;;;
170606;0000;140,192;;;
170607;0000;158,414;;;
170608;0000;;;;
170609;0000;162,491;;;
170610;0000;154,991;;;
170611;0000;126,222;;;
170612;0000;154,476;;;
170613;0000;179,244;;;
170614;0000;133,657;;;
170615;0000;170,06;;;
170616;0000;55,1118;;;
170617;0000;34,2542;;;
170618;0000;82,9104;;;
170619;0000;267,957;;;
170620;0000;268,613;;;
170621;0000;261,768;;;
170622;0000;101,407;;;
170623;0000;127,874;;;
170624;0000;103,01;;;
170625;0000;60,6651;;;
170626;0000;42,4475;;;
170627;0000;107,276;;;
170628;0000;136,58;;;
170629;0000;141,986;;;
170630;0000;149,243;;;
170701;0000;157,068;;;
170702;0000;112,518;;;
170703;0000;44,6592;;;
170704;0000;78,6581;;;
170705;0000;210,923;;;
170706;0000;226,953;;;
170707;0000;200,126;;;
170708;0000;159,831;;;
170709;0000;114,554;;;
170710;0000;142,77;;;
170711;0000;142,56;;;
170712;0000;110,739;;;
170713;0000;54,3641;;;
170714;0000;52,2437;;;
170715;0000;;;;
170716;0000;;;;
170717;0000;162,444;;;
170718;0000;;;;
170719;0000;;;;
170720;0000;160,563;;;
170721;0000;124,463;;;
170722;0000;69,5052;;;
170723;0000;92,9104;;;
170724;0000;108,648;;;
170725;0000;153,422;;;
170726;0000;177,308;;;
170727;0000;153,767;;;
170728;0000;174,051;;;
170729;0000;112,103;;;
170730;0000;96,0319;;;
170731;0000;134,399;;;
170801;0000;55,2414;;;
170802;0000;129,911;;;
170803;0000;;;;
170804;0000;90,5354;;;
170805;0000;79,0111;;;
170806;0000;104,589;;;
170807;0000;93,8549;;;
170808;0000;135,584;;;
170809;0000;120,324;;;
170810;0000;39,9174;;;
170811;0000;48,6008;;;
170812;0000;70,373;;;
170813;0000;58,6739;;;
170814;0000;77,166;;;
170815;0000;83,4868;;;
170816;0000;137,447;;;
170817;0000;97,8301;;;
170818;0000;76,0718;;;
170819;0000;53,7034;;;
170820;0000;62,7793;;;
170821;0000;99,2703;;;
170822;0000;88,7494;;;
170823;0000;46,2605;;;
170824;0000;33,8564;;;
170825;0000;69,4543;;;
170826;0000;71,9419;;;
170827;0000;32,8382;;;
170828;0000;31,9112;;;
170829;0000;54,6515;;;
170830;0000;113,082;;;
170831;0000;95,7335;;;
170901;0000;42,7913;;;
170902;0000;40,6478;;;
170903;0000;18,0344;;;
170904;0000;71,7439;;;
170905;0000;90,193;;;
170906;0000;89,546;;;
170907;0000;62,5425;;;
170908;0000;32,4708;;;
170909;0000;52,0344;;;
170910;0000;29,0529;;;
170911;0000;85,5062;;;
170912;0000;51,4731;;;
170913;0000;19,3411;;;
170914;0000;44,6351;;;
170915;0000;71,0217;;;
170916;0000;51,5367;;;
170917;0000;31,9557;;;
170918;0000;25,112;;;
170919;0000;6,15593;;;
170920;0000;25,8631;;;
170921;0000;39,7335;;;
170922;0000;58,0714;;;
170923;0000;37,5494;;;
170924;0000;23,0853;;;
170925;0000;53,017;;;
170926;0000;74,5032;;;
170927;0000;62,8003;;;
170928;0000;44,818;;;
170929;0000;48,8585;;;
170930;0000;33,8897;;;
171001;0000;18,0008;;;
171002;0000;47,4893;;;
171003;0000;53,6583;;;
171004;0000;;;;
171005;0000;18,8962;;;
171006;0000;54,5427;;;
171007;0000;39,3194;;;
171008;0000;17,985;;;
171009;0000;24,7944;;;
171010;0000;29,3456;;;
171011;0000;25,8356;;;
171012;0000;23,3884;;;
171013;0000;39,9117;;;
171014;0000;38,4323;;;
171015;0000;38,6899;;;
171016;0000;27,1596;;;
171017;0000;40,351;;;
171018;0000;29,7067;;;
171019;0000;37,272;;;
171020;0000;37,2034;;;
171021;0000;52,311;;;
171022;0000;28,4657;;;
171023;0000;41,0865;;;
171024;0000;33,3792;;;
171025;0000;29,75;;;
171026;0000;23,1405;;;
