FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170404;0000;23,2206;;;
170405;0000;28,8143;;;
170406;0000;25,4623;;;
170407;0000;12,226;;;
170408;0000;15,7197;;;
170409;0000;18,0315;;;
170410;0000;32,1072;;;
170411;0000;33,055;;;
170412;0000;32,5823;;;
170413;0000;24,9468;;;
170414;0000;16,4849;;;
170415;0000;22,3678;;;
170416;0000;27,6601;;;
170417;0000;29,1238;;;
170418;0000;22,4431;;;
170419;0000;16,9695;;;
170420;0000;20,9217;;;
170421;0000;21,4914;;;
170422;0000;24,3219;;;
170423;0000;19,9695;;;
170424;0000;;;30,6555;
170425;0000;;;;
170426;0000;30,4069;;;
170427;0000;38,9654;;;
170428;0000;41,0136;;;
170429;0000;41,2003;;;
170430;0000;;;;
170501;0000;;;;
170502;0000;35,55;;;
170503;0000;43,09;;;
170504;0000;46,02;;;
170505;0000;45,14;;;
170506;0000;;;;
170507;0000;;;;
170508;0000;33,93;;;
170509;0000;36,1;;;
170510;0000;25,2;;;
170511;0000;;;;
170512;0000;;;;
170513;0000;;;;
170514;0000;;;;
170515;0000;25,77;;;
170516;0000;24,18;;;
170517;0000;26,92;;;
170518;0000;;;;
170519;0000;23,7;;;
170520;0000;32,37;;;
170521;0000;30,86;;;
170522;0000;38,37;;;
170523;0000;39,86;;;
170524;0000;31,76;;;
170525;0000;;;;
170526;0000;32,21;;;
170527;0000;26,91;;;
170528;0000;;;;
170529;0000;30,2;;;
170530;0000;41,43;;;
170531;0000;38,89;;;
170601;0000;42,77;;;
170602;0000;39,06;;;
170603;0000;31,59;;;
170604;0000;;;;
170605;0000;35,88;;;
170606;0000;42,3;;;
170607;0000;46,58;;;
170608;0000;;;;
170609;0000;32,08;;;
170610;0000;41,61;;;
170611;0000;35,52;;;
170612;0000;47,28;;;
170613;0000;44,61;;;
170614;0000;34,76;;;
170615;0000;38,41;;;
170616;0000;23,18;;;
170617;0000;17,67;;;
170618;0000;23,38;;;
170619;0000;54,54;;;
170620;0000;50,94;;;
170621;0000;50,29;;;
170622;0000;36,51;;;
170623;0000;35;;;
170624;0000;26,8;;;
170625;0000;20,87;;;
170626;0000;20,94;;;
170627;0000;30,02;;;
170628;0000;34,34;;;
170629;0000;39,45;;;
170630;0000;42,82;;;
170701;0000;46,22;;;
170702;0000;39,52;;;
170703;0000;23,37;;;
170704;0000;27,83;;;
170705;0000;41,79;;;
170706;0000;51,85;;;
170707;0000;55,86;;;
170708;0000;46,09;;;
170709;0000;36,62;;;
170710;0000;37,1;;;
170711;0000;40,2;;;
170712;0000;30,09;;;
170713;0000;21,21;;;
170714;0000;19,53;;;
170715;0000;;;;
170716;0000;;;;
170717;0000;47,99;;;
170718;0000;;;;
170719;0000;;;;
170720;0000;54,27;;;
170721;0000;44,55;;;
170722;0000;31,07;;;
170723;0000;28,34;;;
170724;0000;29,94;;;
170725;0000;39,18;;;
170726;0000;52,06;;;
170727;0000;44,53;;;
170728;0000;44,8;;;
170729;0000;36,13;;;
170730;0000;32,83;;;
170731;0000;45,52;;;
170801;0000;27,24;;;
170802;0000;43,6;;;
170803;0000;;;;
170804;0000;40,07;;;
170805;0000;37,54;;;
170806;0000;34,91;;;
170807;0000;32,06;;;
170808;0000;44,46;;;
