FECHA (YYMMDD);HORA (HHMM);;,
150203;0500;66;,
150203;0600;65,75;
150203;0700;55,3333;
150203;0800;47,4167;
150203;0900;40,75;
150203;1000;35,3333;
150203;1100;32,3333;
150203;1200;32,6667;
150203;1300;29,3333;
150203;1400;27;,
150203;1500;25,9167;
150203;1600;26,8333;
150203;1700;31,4167;
150203;1800;34,75;
150203;1900;42,4167;
150203;2000;48,5;
150203;2100;50;,
150203;2200;50;,
150203;2300;52,3333;
150204;0000;52,75;
150204;0100;58;,
150204;0200;62,5;
150204;0300;66,3333;
150204;0400;67,8333;
150204;0500;69,8333;
150204;0600;70,0833;
150204;0700;57,6667;
150204;0800;43,25;
150204;0900;38,0833;
150204;1000;34;,
150204;1100;31,3333;
150204;1200;27,5;
150204;1300;25,5833;
150204;1400;21,8333;
150204;1500;21,25;
150204;1600;25;,
150204;1700;27,9167;
150204;1800;29,5;
150204;1900;38,75;
150204;2000;46;,
150204;2100;48,5;
150204;2200;51,5;
150204;2300;55,1667;
150205;0000;59,0833;
150205;0100;61,5;
150205;0200;63,0833;
150205;0300;65,1666;
150205;0400;65,8333;
150205;0500;67;,
150205;0600;68,25;
150205;0700;59,4167;
150205;0800;49;,
150205;0900;42,9167;
150205;1000;37,8333;
150205;1100;35,0833;
150205;1200;31,75;
150205;1300;33,25;
150205;1400;33,1667;
150205;1500;32,5;
150205;1600;33,9167;
150205;1700;36,5833;
150205;1800;39,5;
150205;1900;45;,
150205;2000;51,6667;
150205;2100;55,8333;
150205;2200;57,25;
150205;2300;60,3333;
150206;0000;66;,
150206;0100;68,8333;
150206;0200;70;,
150206;0300;71;,
150206;0400;72,6666;
150206;0500;72,25;
150206;0600;71,4167;
150206;0700;68,5;
150206;0800;52,5833;
150206;0900;44,8333;
150206;1000;41,5833;
150206;1100;37,5;
150206;1200;31,5;
150206;1300;28,25;
150206;1400;24,0833;
150206;1500;25;,
150206;1600;30,9167;
150206;1700;30,5833;
150206;1800;33,1667;
150206;1900;43,0833;
150206;2000;47,4167;
150206;2100;50,8333;
150206;2200;53,5833;
150206;2300;57,8333;
150207;0000;61,75;
150207;0100;62,9167;
150207;0200;65,4166;
150207;0300;65,5;
150207;0400;67,6666;
150207;0500;69,0833;
150207;0600;69,5833;
150207;0700;60,5;
150207;0800;47,4167;
150207;0900;39,4167;
150207;1000;35,1667;
150207;1100;31,5833;
150207;1200;27,5833;
150207;1300;29,0833;
150207;1400;28,0833;
150207;1500;30;,
150207;1600;34,0833;
150207;1700;35,8333;
150207;1800;39,5833;
150207;1900;45,6667;
150207;2000;48,9167;
150207;2100;51,25;
150207;2200;50,6667;
150207;2300;49,6667;
150208;0000;52,5833;
150208;0100;55,4167;
150208;0200;57,1667;
150208;0300;62,1667;
150208;0400;65,9166;
150208;0500;72,3333;
150208;0600;73,6667;
150208;0700;67,25;
150208;0800;63,4167;
150208;0900;54,8333;
150208;1000;42,25;
150208;1100;29;,
150208;1200;30,0833;
150208;1300;30,8333;
150208;1400;32,9167;
150208;1500;29,5833;
150208;1600;26,1667;
150208;1700;26,1667;
150208;1800;29;,
150208;1900;34,5833;
150208;2000;44,1667;
150208;2100;49,8333;
150208;2200;55;,
150208;2300;59,1667;
150209;0000;61,5;
150209;0100;63,3333;
150209;0200;65;,
150209;0300;66,4166;
150209;0400;66,6667;
150209;0500;67,8333;
150209;0600;68,8333;
150209;0700;66,0833;
150209;0800;50,4167;
150209;0900;45,4167;
150209;1000;41,1667;
150209;1100;43,1667;
150209;1200;39,9167;
150209;1300;44,5;
150209;1400;47,1667;
150209;1500;44,9167;
150209;1600;43,3333;
150209;1700;41,5833;
150209;1800;42,0833;
150209;1900;42,1667;
150209;2000;43,75;
150209;2100;45,25;
150209;2200;48,5833;
150209;2300;51,25;
150210;0000;52,6667;
150210;0100;58,4167;
150210;0200;60,1667;
150210;0300;63,4167;
150210;0400;65,1666;
150210;0500;67,0833;
150210;0600;67,9166;
150210;0700;64,4166;
150210;0800;50,0833;
150210;0900;42,0833;
150210;1000;35,75;
150210;1100;31,25;
150210;1200;27,4167;
150210;1300;27,75;
150210;1400;27,1667;
150210;1500;25,75;
150210;1600;25,8333;
150210;1700;26,1667;
150210;1800;26,5833;
150210;1900;31,6667;
150210;2000;35,4167;
150210;2100;37,5833;
150210;2200;44,0833;
150210;2300;47,4167;
150211;0000;50,5;
150211;0100;52,9167;
150211;0200;55,5;
150211;0300;56,9167;
150211;0400;58,5;
150211;0500;59,5;
150211;0600;59,9167;
150211;0700;51,75;
150211;0800;35,6667;
150211;0900;29,9167;
150211;1000;28,5;
150211;1100;27;,
150211;1200;25,9167;
150211;1300;23,1667;
150211;1400;20,0833;
150211;1500;20;,
150211;1600;22,4167;
150211;1700;25;,
150211;1800;26,25;
150211;1900;29,3333;
150211;2000;34;,
150211;2100;37,9167;
150211;2200;42;,
150211;2300;46,1667;
150212;0000;50,1667;
150212;0100;53,5;
150212;0200;56,25;
150212;0300;56,3333;
150212;0400;56,8333;
150212;0500;57,6667;
150212;0600;58;,
